file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000000,2026-09-09T13:24:47.408,horizontal,,,0,3,0.8776,YOLO-omega,
cap_000001,2026-09-09T13:24:47.536,horizontal,,,0,3,0.8555,YOLO-omega,
cap_000002,2026-09-09T13:24:47.627,horizontal,,,0,3,0.8525,YOLO-omega,
cap_000003,2026-09-09T13:24:47.756,horizontal,,,0,3,0.8486,YOLO-omega,
cap_000004,2026-09-09T13:24:47.888,horizontal,,,0,3,0.8533,YOLO-omega,
cap_000005,2026-09-09T13:24:47.988,horizontal,,,0,3,0.8533,YOLO-omega,
cap_000006,2026-09-09T13:24:48.116,horizontal,,,0,3,0.8609,YOLO-omega,
cap_000007,2026-09-09T13:24:48.211,horizontal,,,0,3,0.8527,YOLO-omega,
cap_000008,2026-09-09T13:24:48.337,horizontal,,,0,3,0.8522,YOLO-omega,
cap_000009,2026-09-09T13:24:48.430,horizontal,,,0,3,0.8589,YOLO-omega,
cap_000010,2026-09-09T13:24:48.561,horizontal,,,0,3,0.8567,YOLO-omega,
cap_000011,2026-09-09T13:24:48.689,horizontal,,,0,3,0.8642,YOLO-omega,
cap_000012,2026-09-09T13:24:48.783,horizontal,,,0,3,0.8659,YOLO-omega,
cap_000013,2026-09-09T13:24:48.912,horizontal,,,0,3,0.8559,YOLO-omega,
cap_000014,2026-09-09T13:24:49.006,horizontal,,,0,3,0.8604,YOLO-omega,
cap_000015,2026-09-09T13:24:49.132,horizontal,,,0,3,0.8698,YOLO-omega,
cap_000016,2026-09-09T13:24:49.230,horizontal,,,0,3,0.8613,YOLO-omega,
cap_000017,2026-09-09T13:24:49.355,horizontal,,,0,3,0.8559,YOLO-omega,
cap_000018,2026-09-09T13:24:49.453,horizontal,,,0,3,0.8556,YOLO-omega,
cap_000019,2026-09-09T13:24:49.575,horizontal,,,0,3,0.8563,YOLO-omega,
cap_000020,2026-09-09T13:24:49.703,horizontal,,,0,3,0.8608,YOLO-omega,
cap_000021,2026-09-09T13:24:49.806,horizontal,,,0,3,0.8541,YOLO-omega,
cap_000022,2026-09-09T13:24:49.933,horizontal,,,0,3,0.8525,YOLO-omega,
cap_000023,2026-09-09T13:24:50.028,horizontal,,,0,3,0.8554,YOLO-omega,
cap_000024,2026-09-09T13:24:50.160,horizontal,,,0,3,0.8507,YOLO-omega,
cap_000025,2026-09-09T13:24:50.249,horizontal,,,0,3,0.8452,YOLO-omega,
cap_000026,2026-09-09T13:24:50.381,horizontal,,,0,3,0.8426,YOLO-omega,
cap_000027,2026-09-09T13:24:50.506,horizontal,,,0,3,0.8962,YOLO-omega,
cap_000028,2026-09-09T13:24:50.600,horizontal,,,0,3,0.9026,YOLO-omega,
cap_000029,2026-09-09T13:24:50.732,horizontal,,,0,3,0.9047,YOLO-omega,
cap_000030,2026-09-09T13:24:50.829,horizontal,,,0,3,0.8897,YOLO-omega,
cap_000031,2026-09-09T13:24:50.956,horizontal,,,0,3,0.8877,YOLO-omega,
cap_000032,2026-09-09T13:24:51.050,horizontal,,,0,3,0.8990,YOLO-omega,
cap_000033,2026-09-09T13:24:51.177,horizontal,,,0,3,0.8850,YOLO-omega,
cap_000034,2026-09-09T13:24:51.289,horizontal,,,0,3,0.8834,YOLO-omega,
cap_000035,2026-09-09T13:24:51.404,horizontal,,,0,3,0.8725,YOLO-omega,
cap_000036,2026-09-09T13:24:51.529,horizontal,,,0,3,0.8745,YOLO-omega,
cap_000037,2026-09-09T13:24:51.628,horizontal,,,0,3,0.8816,YOLO-omega,
cap_000038,2026-09-09T13:24:51.756,horizontal,,,0,4,0.8749,YOLO-omega,
cap_000039,2026-09-09T13:24:51.850,horizontal,,,0,3,0.8765,YOLO-omega,
cap_000040,2026-09-09T13:24:51.981,horizontal,,,0,3,0.8825,YOLO-omega,
cap_000041,2026-09-09T13:24:52.072,horizontal,,,0,3,0.8831,YOLO-omega,
cap_000042,2026-09-09T13:24:52.201,horizontal,,,0,4,0.8814,YOLO-omega,
